                   N             lambda1             lambda2             lambda3
                 131       9.86913851128       39.4709640603       88.7887098591
                 132       9.86914549034       39.4710757127       88.7892749931
                 133       9.86915231374       39.4711848749        88.789827525
                 134       9.86915898607       39.4712916206       88.7903678266
                 135       9.86916551176       39.4713960205       88.7908962561
                 136       9.86917189508       39.4714981427        88.791413159
                 137       9.86917814014       39.4715980532       88.7919188679
                 138        9.8691842509       39.4716958154       88.7924137038
                 139       9.86919023118       39.4717914903       88.7928979761
                 140       9.86919608469       39.4718851369       88.7933719833
                 141       9.86920181497       39.4719768123       88.7938360136
                 142       9.86920742545       39.4720665713        88.794290345
                 143       9.86921291945        39.472154467       88.7947352458
                 144       9.86921830019       39.4722405506       88.7951709753
                 145       9.86922357074       39.4723248715       88.7955977837
                 146        9.8692287341       39.4724074777       88.7960159131
                 147       9.86923379315       39.4724884151       88.7964255971
                 148       9.86923875068       39.4725677286       88.7968270615
                 149        9.8692436094       39.4726454612       88.7972205249
                 150       9.86924837191       39.4727216547       88.7976061984
                 151       9.86925304074       39.4727963494       88.7979842863
                 152       9.86925761831       39.4728695844       88.7983549862
                 153         9.869262107       39.4729413976       88.7987184893
                 154        9.8692665091       39.4730118253       88.7990749808
                 155       9.86927082682       39.4730809032       88.7994246398
                 156       9.86927506229       39.4731486653       88.7997676398
                 157       9.86927921762       39.4732151451       88.8001041488
                 158       9.86928329477       39.4732803745       88.8004343295
                 159       9.86928729573       39.4733443848       88.8007583397
                 160       9.86929122236       39.4734072061       88.8010763321
                 161        9.8692950765       39.4734688678       88.8013884548
                 162       9.86929885994       39.4735293981       88.8016948514
                 163       9.86930257437       39.4735888246       88.8019956612
                 164       9.86930622147        39.473647174        88.802291019
                 165       9.86930980286       39.4737044721       88.8025810559
                 166       9.86931332011       39.4737607441        88.802865899
                 167       9.86931677473       39.4738160143       88.8031456714
                 168       9.86932016822       39.4738703063       88.8034204928
                 169         9.869323502       39.4739236431       88.8036904794
                 170       9.86932677747       39.4739760469       88.8039557439
                 171       9.86932999596       39.4740275395       88.8042163958
                 172       9.86933315881       39.4740781417       88.8044725413
                 173       9.86933626729       39.4741278741       88.8047242839
                 174       9.86933932263       39.4741767564       88.8049717237
                 175       9.86934232604       39.4742248078       88.8052149583
