                   N             lambda1             lambda2            lambda 3             CPUtime        # Iterations
                 102       9.86883927975       39.4661768014       88.7644801522             193.838               15571
                 103       9.86885392242       39.4664110412       88.7656656271             204.115               15911
                 104       9.86886814885       39.4666386214        88.766817405             211.612               16160
                 105       9.86888197438       39.4668597924       88.7679367507             213.825               16345
                 106        9.8688954142       39.4670747918       88.7690248709             225.342               16823
                 107       9.86890848243       39.4672838479       88.7700829158             232.637               17219
                 108       9.86892119269       39.4674871773       88.7711119836             241.606               17323
                 109       9.86893355782       39.4676849875       88.7721131229             249.962               17793
                 110       9.86894559032       39.4678774764       88.7730873351             259.879               18098
                 111       9.86895730197        39.468064833       88.7740355772             268.227               18382
                 112       9.86896870408       39.4682472383       88.7749587641             280.641               18696
                 113        9.8689798075       39.4684248652       88.7758577706             285.159               19026
                 114       9.86899062247       39.4685978792        88.776733434             296.733               19375
                 115        9.8690011591       39.4687664385       88.7775865553             307.378               19867
                 116       9.86901142651       39.4689306949       88.7784179016             319.318               20105
                 117        9.8690214341       39.4690907936       88.7792282077             328.061               20495
                 118       9.86903119047       39.4692468735       88.7800181775             340.327               20858
                 119       9.86904070396       39.4693990683       88.7807884859             352.509               21238
                 120       9.86904998255       39.4695475057         88.78153978             367.457               21544
                 121       9.86905903393       39.4696923084       88.7822726803             374.762               22000
                 122       9.86906786548       39.4698335941       88.7829877824             388.401               22368
                 123       9.86907648418       39.4699714758        88.783685658             398.722               22735
                 124       9.86908489707       39.4701060618       88.7843668558             416.986               23019
                 125       9.86909311008       39.4702374568       88.7850319032             425.607               23488
                 126       9.86910113006       39.4703657604       88.7856813067             439.544               23825
                 127       9.86910896283       39.4704910689       88.7863155527             451.948               24100
                 128       9.86911661411       39.4706134749       88.7869351097             464.816               24574
                 129       9.86912408949       39.4707330674       88.7875404276             478.378               24852
                 130       9.86913139435       39.4708499318       88.7881319395             495.955               25314
                 131       9.86913853388       39.4709641506       88.7887100619             510.273               25844
                 132       9.86914551296       39.4710758028        88.789275196             531.254               26116
                 133       9.86915233639       39.4711849651       88.7898277278              543.77               26556
                 134       9.86915900863       39.4712917108       88.7903680294             557.594               26886
                 135       9.86916553435       39.4713961106        88.790896459             575.637               27391
                 136       9.86917191766        39.471498233       88.7914133619             599.392               27818
                 137        9.8691781627       39.4715981434       88.7919190708             610.678               28343
                 138       9.86918427356       39.4716959055       88.7924139066              633.14               28873
                 139       9.86919025375       39.4717915805       88.7928981789             638.708               28976
                 140       9.86919610725       39.4718852271       88.7933721862             665.603               29451
                 141       9.86920183777       39.4719769023       88.7938362165              677.72               29811
                 142       9.86920744801       39.4720666615       88.7942905478             704.141               30351
                 143       9.86921294201       39.4721545572       88.7947354486             722.453               30795
                 144       9.86921832276       39.4722406408       88.7951711782             744.549               30996
                 145       9.86922359331       39.4723249617       88.7955979866             751.982               31366
                 146       9.86922875667       39.4724075679        88.796016116             791.023               32178
                 147       9.86923381571       39.4724885053       88.7964257999             809.077               32477
                 148       9.86923877326       39.4725678188       88.7968272644             862.155               32989
                 149       9.86924363196       39.4726455514       88.7972207278             889.685               33508
                 150       9.86924839447       39.4727217449       88.7976064013             901.634               33626
                 151       9.86925306329       39.4727964397       88.7979844892            1021.462               34497
                 152       9.86925764087       39.4728696746       88.7983551891            1058.257               34802
                 153       9.86926212956       39.4729414877       88.7987186923            1111.163               35281
                 154       9.86926653168       39.4730119155       88.7990751837              995.91               35607
                 155       9.86927084938       39.4730809934       88.7994248427            1001.523               36188
                 156       9.86927508485       39.4731487556       88.7997678427             1021.38               36306
                 157       9.86927924021       39.4732152352       88.8001043517            1042.026               37100
                 158       9.86928331753       39.4732804645       88.8004345325            1067.613               37523
                 159       9.86928731829        39.473344475       88.8007585426             1095.12               38110
                 160       9.86929124494       39.4734072963       88.8010765349            1296.237               38294
                 161       9.86929509907        39.473468958       88.8013886578             1286.03               38964
                 162        9.8692988825       39.4735294883       88.8016950543            1238.682               39344
                 163       9.86930259693       39.4735889148       88.8019958641            1391.387               39976
                 164       9.86930624405       39.4736472642       88.8022912219            1305.564               40324
                 165       9.86930982544       39.4737045624       88.8025812589            1281.721               41028
                 166        9.8693133427       39.4737608343       88.8028661019            1329.229               41487
                 167        9.8693167973       39.4738161045       88.8031458743            1337.295               41874
                 168       9.86932019078       39.4738703965       88.8034206958            1397.139               42397
                 169       9.86932352458       39.4739237333       88.8036906823             1388.92               42816
                 170       9.86932680016        39.473976137       88.8039559468            1413.215               43216
                 171       9.86933001854       39.4740276297       88.8042165987             1456.19               44031
                 172       9.86933318139       39.4740782319       88.8044727442            1487.212               44603
                 173       9.86933628993       39.4741279642       88.8047244868            1520.922               45252
                 174       9.86933934521       39.4741768466       88.8049719266             1594.27               45540
                 175       9.86934234867       39.4742248981       88.8052151613            1588.827               46050
                 176       9.86934530125       39.4742721375       88.8054542855            1641.047               46748
                 177       9.86934820428        39.474318583       88.8056893913              1652.2               47188
                 178       9.86935105884       39.4743642522       88.8059205683            1690.952               47661
                 179       9.86935386585       39.4744091626       88.8061479036            1726.857               48462
                 180       9.86935662653       39.4744533307       88.8063714818            1763.677               48555
                 181       9.86935934181       39.4744967727       88.8065913851            1805.757               49380
                 182       9.86936201283       39.4745395044       88.8068076938            1861.943               50199
                 183       9.86936464018       39.4745815416       88.8070204858            1900.531               50653
                 184       9.86936722519       39.4746228989       88.8072298367            1962.986               51085
                 185       9.86936976857        39.474663591       88.8074358205            2070.426               51655
                 186       9.86937227144       39.4747036318        88.807638509            2072.563               52164
                 187       9.86937473424       39.4747430357       88.8078379721             2058.07               52603
                 188       9.86937715803       39.4747818158       88.8080342778            2127.218               53303
                 189       9.86937954374       39.4748199851       88.8082274924            2211.606               54076
                 190       9.86938189225       39.4748575564       88.8084176805            2307.661               54699
                 191       9.86938420387       39.4748945425        88.808604905            2682.035               55154
                 192       9.86938647975       39.4749309551       88.8087892272            2576.944               55657
                 193       9.86938872054        39.474966806       88.8089707067            2913.492               56022
                 194       9.86939092696       39.4750021069       88.8091494015            2704.269               57079
                 195       9.86939309972       39.4750368688       88.8093253686            2596.499               57192
                 196       9.86939523944       39.4750711027       88.8094986631            2654.358               58188
                 197       9.86939734681       39.4751048192       88.8096693387            2674.462               58517
                 198       9.86939942251       39.4751380288       88.8098374481             2752.84               58911
                 199       9.86940146717       39.4751707415       88.8100030424             2786.35               59776
                 200        9.8694034816        39.475202967       88.8101661716            2860.371               60224
                 201       9.86940546573       39.4752347155       88.8103268842            2924.443               60957
